{'Episode': 47, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -35.120000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9120211276885636, 'Loss': 0.03720637038350105, 'Goal_Reached': 0}
{'Episode': 48, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -35.870000000000005, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9101970854331864, 'Loss': 0.039242349565029144, 'Goal_Reached': 0}
{'Episode': 49, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -36.52, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9083766912623201, 'Loss': 0.07113784551620483, 'Goal_Reached': 0}
{'Episode': 50, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -37.27, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9065599378797955, 'Loss': 0.013077720999717712, 'Goal_Reached': 0}
{'Episode': 51, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -38.02, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9047468180040359, 'Loss': 0.045192278921604156, 'Goal_Reached': 0}
{'Episode': 52, 'Steps': 3, 'Return': -0.8038749999999999, 'Episode_Reward': -0.8200000000000001, 'Cumulative_Reward': -38.84, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9029373243680279, 'Loss': 0.06390701979398727, 'Goal_Reached': 0}
{'Episode': 53, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -39.59, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.9011314497192918, 'Loss': 0.021068662405014038, 'Goal_Reached': 0}
{'Episode': 54, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -40.290000000000006, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8993291868198532, 'Loss': 0.03936948627233505, 'Goal_Reached': 0}
{'Episode': 55, 'Steps': 6, 'Return': -0.636492786925, 'Episode_Reward': -0.67, 'Cumulative_Reward': -40.96000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8975305284462135, 'Loss': 0.03999318182468414, 'Goal_Reached': 0}
{'Episode': 56, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -41.71000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8957354673893211, 'Loss': 0.035992901772260666, 'Goal_Reached': 0}
{'Episode': 57, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -42.46000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8939439964545425, 'Loss': 0.03707022964954376, 'Goal_Reached': 0}
{'Episode': 58, 'Steps': 3, 'Return': -0.6355749999999999, 'Episode_Reward': -0.65, 'Cumulative_Reward': -43.11000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8921561084616334, 'Loss': 0.020611783489584923, 'Goal_Reached': 0}
{'Episode': 59, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -43.81000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8903717962447101, 'Loss': 0.01655270904302597, 'Goal_Reached': 0}
{'Episode': 60, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -44.51000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8885910526522206, 'Loss': 0.018221279606223106, 'Goal_Reached': 0}
{'Episode': 61, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -45.26000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8868138705469162, 'Loss': 0.018181126564741135, 'Goal_Reached': 0}
{'Episode': 62, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -46.01000000000001, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8850402428058224, 'Loss': 0.038216158747673035, 'Goal_Reached': 0}
{'Episode': 63, 'Steps': 2, 'Return': -0.6924999999999999, 'Episode_Reward': -0.7, 'Cumulative_Reward': -46.710000000000015, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8832701623202107, 'Loss': 0.028324555605649948, 'Goal_Reached': 0}
{'Episode': 64, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -47.460000000000015, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8815036219955703, 'Loss': 0.024454964324831963, 'Goal_Reached': 0}
{'Episode': 65, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -48.210000000000015, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8797406147515792, 'Loss': 0.03312821313738823, 'Goal_Reached': 0}
{'Episode': 66, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -48.960000000000015, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.877981133522076, 'Loss': 0.015387425199151039, 'Goal_Reached': 0}
{'Episode': 67, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -49.710000000000015, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8762251712550319, 'Loss': 0.03284101560711861, 'Goal_Reached': 0}
{'Episode': 68, 'Steps': 1, 'Return': -0.75, 'Episode_Reward': -0.75, 'Cumulative_Reward': -50.460000000000015, 'Termination_Reason': 'wall_collision', 'Epsilon': 0.8744727209125218, 'Loss': 0.019855111837387085, 'Goal_Reached': 0}
