Episode 1, Step 133, Action: 0, Reward: -2.70, Total Reward: -422.90
Episode 1, Step 134, Action: 3, Reward: -1.00, Total Reward: -424.90
Episode 1, Step 135, Action: 3, Reward: -1.00, Total Reward: -426.90
Episode 1, Step 136, Action: 0, Reward: -2.90, Total Reward: -432.60
Episode 1, Step 137, Action: 0, Reward: -3.00, Total Reward: -436.60
Episode 1, Step 138, Action: 1, Reward: -1.00, Total Reward: -438.60
Episode 1, Step 139, Action: 3, Reward: -1.00, Total Reward: -442.70
Episode 1, Step 140, Action: 2, Reward: -1.00, Total Reward: -445.70
Episode 1, Step 141, Action: 0, Reward: -3.00, Total Reward: -450.60
Episode 1, Step 142, Action: 0, Reward: -1.00, Total Reward: -454.70
Episode 1, Step 143, Action: 1, Reward: -1.90, Total Reward: -458.60
Episode 1, Step 144, Action: 1, Reward: -1.90, Total Reward: -463.50
Episode 1, Step 145, Action: 1, Reward: -1.00, Total Reward: -467.50
Episode 1, Step 146, Action: 1, Reward: -1.00, Total Reward: -469.50
Episode 1, Step 147, Action: 1, Reward: -1.00, Total Reward: -471.50
Episode 1, Step 148, Action: 1, Reward: -1.00, Total Reward: -473.50
Episode 1, Step 149, Action: 2, Reward: -1.90, Total Reward: -476.40
Episode 1, Step 150, Action: 1, Reward: -1.00, Total Reward: -478.40
Episode 1, Step 151, Action: 1, Reward: -1.00, Total Reward: -481.20
Episode 1, Step 152, Action: 0, Reward: -2.90, Total Reward: -485.10
Episode 1, Step 153, Action: 0, Reward: -1.00, Total Reward: -489.10
Episode 1, Step 154, Action: 1, Reward: -1.00, Total Reward: -491.10
Episode 1, Step 155, Action: 3, Reward: -1.00, Total Reward: -493.10
Episode 1, Step 156, Action: 3, Reward: -1.00, Total Reward: -495.10
Episode 1, Step 157, Action: 2, Reward: -1.90, Total Reward: -498.00
Episode 1, Step 158, Action: 2, Reward: -1.90, Total Reward: -502.90
Episode 1, Step 159, Action: 0, Reward: -1.00, Total Reward: -506.90
Episode 1, Step 160, Action: 2, Reward: -1.90, Total Reward: -509.80
Episode 1, Step 161, Action: 3, Reward: -3.00, Total Reward: -513.80
Episode 1, Step 162, Action: 2, Reward: -1.00, Total Reward: -515.80
Episode 1, Step 163, Action: 2, Reward: -2.00, Total Reward: -520.90
