Episode 115/5000 - Steps: 1, Return: -0.75, Epsilon: 0.966373, Loss: 0.028, Reward: -0.75, Termination: wall_collision
Episode 116/5000 - Steps: 1, Return: -0.75, Epsilon: 0.966083, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 117/5000 - Steps: 1, Return: -0.75, Epsilon: 0.965794, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 118/5000 - Steps: 1, Return: -0.75, Epsilon: 0.965504, Loss: 0.002, Reward: -0.75, Termination: wall_collision
Episode 119/5000 - Steps: 1, Return: -0.75, Epsilon: 0.965214, Loss: 0.009, Reward: -0.75, Termination: wall_collision
Episode 120/5000 - Steps: 1, Return: -0.75, Epsilon: 0.964925, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 121/5000 - Steps: 3, Return: -0.64, Epsilon: 0.964635, Loss: 0.001, Reward: -0.65, Termination: wall_collision
Episode 122/5000 - Steps: 1, Return: -0.75, Epsilon: 0.964346, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 123/5000 - Steps: 2, Return: -0.69, Epsilon: 0.964056, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 124/5000 - Steps: 1, Return: -0.75, Epsilon: 0.963767, Loss: 0.010, Reward: -0.75, Termination: wall_collision
Episode 125/5000 - Steps: 1, Return: -0.75, Epsilon: 0.963478, Loss: 0.006, Reward: -0.75, Termination: wall_collision
Episode 126/5000 - Steps: 1, Return: -0.75, Epsilon: 0.963189, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 127/5000 - Steps: 5, Return: -0.86, Epsilon: 0.962900, Loss: 0.000, Reward: -0.89, Termination: wall_collision
Episode 128/5000 - Steps: 1, Return: -0.75, Epsilon: 0.962611, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 129/5000 - Steps: 1, Return: -0.75, Epsilon: 0.962322, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 130/5000 - Steps: 1, Return: -0.75, Epsilon: 0.962034, Loss: 0.003, Reward: -0.75, Termination: wall_collision
Episode 131/5000 - Steps: 2, Return: -0.69, Epsilon: 0.961745, Loss: 0.005, Reward: -0.70, Termination: wall_collision
Episode 132/5000 - Steps: 1, Return: -0.75, Epsilon: 0.961457, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 133/5000 - Steps: 2, Return: -0.69, Epsilon: 0.961168, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 134/5000 - Steps: 1, Return: -0.75, Epsilon: 0.960880, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 135/5000 - Steps: 1, Return: -0.75, Epsilon: 0.960592, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 136/5000 - Steps: 5, Return: -0.69, Epsilon: 0.960303, Loss: 0.000, Reward: -0.72, Termination: wall_collision
Episode 137/5000 - Steps: 3, Return: -0.64, Epsilon: 0.960015, Loss: 0.001, Reward: -0.65, Termination: wall_collision
Episode 138/5000 - Steps: 5, Return: -0.52, Epsilon: 0.959727, Loss: 0.000, Reward: -0.55, Termination: wall_collision
Episode 139/5000 - Steps: 1, Return: -0.75, Epsilon: 0.959439, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 140/5000 - Steps: 1, Return: -0.75, Epsilon: 0.959151, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 141/5000 - Steps: 1, Return: -0.75, Epsilon: 0.958864, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 142/5000 - Steps: 1, Return: -0.75, Epsilon: 0.958576, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 143/5000 - Steps: 1, Return: -0.75, Epsilon: 0.958289, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 144/5000 - Steps: 1, Return: -0.75, Epsilon: 0.958001, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 145/5000 - Steps: 1, Return: -0.75, Epsilon: 0.957714, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 146/5000 - Steps: 1, Return: -0.75, Epsilon: 0.957426, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 147/5000 - Steps: 2, Return: -0.69, Epsilon: 0.957139, Loss: 0.003, Reward: -0.70, Termination: wall_collision
Episode 148/5000 - Steps: 1, Return: -0.75, Epsilon: 0.956852, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 149/5000 - Steps: 1, Return: -0.75, Epsilon: 0.956565, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 150/5000 - Steps: 1, Return: -0.75, Epsilon: 0.956278, Loss: 0.003, Reward: -0.75, Termination: wall_collision
Episode 151/5000 - Steps: 1, Return: -0.75, Epsilon: 0.955991, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 152/5000 - Steps: 1, Return: -0.75, Epsilon: 0.955704, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 153/5000 - Steps: 1, Return: -0.75, Epsilon: 0.955418, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 154/5000 - Steps: 1, Return: -0.75, Epsilon: 0.955131, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 155/5000 - Steps: 1, Return: -0.75, Epsilon: 0.954844, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 156/5000 - Steps: 1, Return: -0.75, Epsilon: 0.954558, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 157/5000 - Steps: 2, Return: -0.69, Epsilon: 0.954272, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 158/5000 - Steps: 1, Return: -0.75, Epsilon: 0.953985, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 159/5000 - Steps: 4, Return: -0.58, Epsilon: 0.953699, Loss: 0.000, Reward: -0.60, Termination: wall_collision
Episode 160/5000 - Steps: 1, Return: -0.75, Epsilon: 0.953413, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 161/5000 - Steps: 2, Return: -0.69, Epsilon: 0.953127, Loss: 0.000, Reward: -0.70, Termination: wall_collision
Episode 162/5000 - Steps: 1, Return: -0.75, Epsilon: 0.952841, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 163/5000 - Steps: 1, Return: -0.75, Epsilon: 0.952555, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 164/5000 - Steps: 1, Return: -0.75, Epsilon: 0.952269, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 165/5000 - Steps: 1, Return: -0.75, Epsilon: 0.951984, Loss: 0.001, Reward: -0.75, Termination: wall_collision
Episode 166/5000 - Steps: 3, Return: -0.80, Epsilon: 0.951698, Loss: 0.000, Reward: -0.82, Termination: wall_collision
Episode 167/5000 - Steps: 1, Return: -0.75, Epsilon: 0.951413, Loss: 0.000, Reward: -0.75, Termination: wall_collision
Episode 168/5000 - Steps: 1, Return: -0.75, Epsilon: 0.951127, Loss: 0.000, Reward: -0.75, Termination: wall_collision
